site,site_id,canonical_run_module,observation_family,observation_name,observation_source,raw_selector_or_variable,mapping_type,mapped_pool_or_pools,depth_window_cm,observation_time_handling,used_in_canonical_inversion,notes
Barrow,US-A10,notebooks/sites/canonical.py:run_barrow_canonical,resp_delta14C,surface_emissions_14c,Barrow field radiocarbon CSV,"material=surface emissions; 14C grouped by decoded observation date",aggregate_respiration,all_soil_pools,,nearest model day from decimal year,yes,"Respired Δ14C constrains the decomposition-weighted mixture of all respiring soil pools."
Barrow,US-A10,notebooks/sites/canonical.py:run_barrow_canonical,c_stock,ping_2008_active_inventory,Literature prior embedded in site helper,"fixed mean 4500 gC m-2 with 45% sigma",direct_pool_constraint,soil_active,0 to 14,time-invariant scalar constraint,yes,"Individual active-pool stock constraint."
Barrow,US-A10,notebooks/sites/canonical.py:run_barrow_canonical,c_stock,hugelius_2014_passive_inventory,Literature prior embedded in site helper,"fixed mean 12000 gC m-2 with 33% sigma",direct_pool_constraint,soil_passive,30 to 100,time-invariant scalar constraint,yes,"Individual passive-pool stock constraint; slow pool constrained indirectly."
Howland Forest,US-Ho1,notebooks/sites/howland_forest.py:run_howland_canonical,pool_delta14C,israd_bulk_layer_active,ISRaD layer table,"Howland control upland profiles; lyr_14c",depth_bin_to_pool,soil_active,-12 to 0,one mean per observation year,yes,"Stored in delta14C_obs."
Howland Forest,US-Ho1,notebooks/sites/howland_forest.py:run_howland_canonical,pool_delta14C,israd_bulk_layer_slow,ISRaD layer table,"Howland control upland profiles; lyr_14c",depth_bin_to_pool,soil_slow,0 to 20,one mean per observation year,yes,"Stored in delta14C_obs."
Howland Forest,US-Ho1,notebooks/sites/howland_forest.py:run_howland_canonical,pool_delta14C,israd_bulk_layer_passive,ISRaD layer table,"Howland control upland profiles; lyr_14c",depth_bin_to_pool,soil_passive,20 to 130,one mean per observation year,yes,"Stored in delta14C_obs."
Howland Forest,US-Ho1,notebooks/sites/howland_forest.py:run_howland_canonical,pool_delta14C,israd_density_free_light,ISRaD fraction table,"Howland control upland profiles; entry=Gaudinski_2001; frc_scheme=density; free light",fraction_to_pool,soil_active,-0.5 to 7.5,year from lyr_obs_date_y,yes,"Implemented as extra ObsBlocks."
Howland Forest,US-Ho1,notebooks/sites/howland_forest.py:run_howland_canonical,pool_delta14C,israd_density_heavy,ISRaD fraction table,"Howland control upland profiles; entry=Gaudinski_2001; frc_scheme=density; heavy",fraction_to_pool,soil_passive,-0.5 to 60.0,year from lyr_obs_date_y,yes,"Implemented as extra ObsBlocks; no slow-pool density-fraction block."
Howland Forest,US-Ho1,notebooks/sites/howland_forest.py:run_howland_canonical,resp_delta14C,israd_soil_emission_14c,ISRaD flux table,"Tower Pit; soil emission; flx_14c",aggregate_respiration,all_soil_pools,,nearest model day from decimal year,yes,"Respired Δ14C constrains the decomposition-weighted mixture of all respiring soil pools."
Howland Forest,US-Ho1,notebooks/sites/howland_forest.py:run_howland_canonical,c_stock,israd_stock_active,ISRaD layer table,"Howland control upland profiles; lyr_soc summed by layer midpoint",depth_bin_to_pool,soil_active,-12 to 0,profile-year means aggregated across profiles,yes,"Time-invariant stock constraint."
Howland Forest,US-Ho1,notebooks/sites/howland_forest.py:run_howland_canonical,c_stock,israd_stock_slow,ISRaD layer table,"Howland control upland profiles; lyr_soc summed by layer midpoint",depth_bin_to_pool,soil_slow,0 to 20,profile-year means aggregated across profiles,yes,"Time-invariant stock constraint."
Howland Forest,US-Ho1,notebooks/sites/howland_forest.py:run_howland_canonical,c_stock,israd_stock_passive,ISRaD layer table,"Howland control upland profiles; lyr_soc summed by layer midpoint",depth_bin_to_pool,soil_passive,20 to 130,profile-year means aggregated across profiles,yes,"Time-invariant stock constraint."
Eight-mile Lake,US-EML,notebooks/sites/eight_mile_lake.py:run_eml_canonical,pool_delta14C,israd_bulk_layer_active,ISRaD layer table,"entry=Hicks_Pries_2012; site=EML; control; lyr_14c",depth_bin_to_pool,soil_active,-40 to 0,single canonical observation year 2004,yes,"Implemented as extra ObsBlock; helper also builds summary dict for state initialization."
Eight-mile Lake,US-EML,notebooks/sites/eight_mile_lake.py:run_eml_canonical,pool_delta14C,israd_bulk_layer_slow,ISRaD layer table,"entry=Hicks_Pries_2012; site=EML; control; lyr_14c",depth_bin_to_pool,soil_slow,0 to 20,single canonical observation year 2004,yes,"Implemented as extra ObsBlock; helper also builds summary dict for state initialization."
Eight-mile Lake,US-EML,notebooks/sites/eight_mile_lake.py:run_eml_canonical,pool_delta14C,israd_bulk_layer_passive,ISRaD layer table,"entry=Hicks_Pries_2012; site=EML; control; lyr_14c",depth_bin_to_pool,soil_passive,20 to 60,single canonical observation year 2004,yes,"Implemented as extra ObsBlock; helper also builds summary dict for state initialization."
Eight-mile Lake,US-EML,notebooks/sites/eight_mile_lake.py:run_eml_canonical,pool_delta14C,israd_macrofossil_active,ISRaD fraction table,"entry=Hicks_Pries_2012; site=EML; control; frc_property=macrofossil",fraction_to_pool,soil_active,-40 to -20,single canonical observation year 2004,yes,"Implemented as extra ObsBlock."
Eight-mile Lake,US-EML,notebooks/sites/eight_mile_lake.py:run_eml_canonical,pool_delta14C,israd_macrofossil_slow,ISRaD fraction table,"entry=Hicks_Pries_2012; site=EML; control; frc_property=macrofossil",fraction_to_pool,soil_slow,-70 to -40,single canonical observation year 2004,yes,"Implemented as extra ObsBlock."
Eight-mile Lake,US-EML,notebooks/sites/eight_mile_lake.py:run_eml_canonical,resp_delta14C,israd_soil_emission_14c,ISRaD flux table,"entry=Hicks_Pries_2013; site=EML; soil emission; analyte=CO2",aggregate_respiration,all_soil_pools,,nearest model day from decimal year,yes,"Respired Δ14C constrains the decomposition-weighted mixture of all respiring soil pools."
Eight-mile Lake,US-EML,notebooks/sites/eight_mile_lake.py:run_eml_canonical,c_stock,israd_stock_active,ISRaD layer table,"entry=Hicks_Pries_2012; site=EML; control; lyr_soc summed by layer midpoint",depth_bin_to_pool,soil_active,-40 to 0,profile means aggregated across profiles,yes,"Time-invariant stock constraint."
Eight-mile Lake,US-EML,notebooks/sites/eight_mile_lake.py:run_eml_canonical,c_stock,israd_stock_slow,ISRaD layer table,"entry=Hicks_Pries_2012; site=EML; control; lyr_soc summed by layer midpoint",depth_bin_to_pool,soil_slow,0 to 20,profile means aggregated across profiles,yes,"Time-invariant stock constraint."
Eight-mile Lake,US-EML,notebooks/sites/eight_mile_lake.py:run_eml_canonical,c_stock,israd_stock_passive,ISRaD layer table,"entry=Hicks_Pries_2012; site=EML; control; lyr_soc summed by layer midpoint",depth_bin_to_pool,soil_passive,20 to 60,profile means aggregated across profiles,yes,"Time-invariant stock constraint."
