site,label,tower_id,biome,state_name,prior_sigma,posterior_sigma,uncertainty_reduction,averaging_kernel_diagonal
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_tau[1],0.5,0.2737637344816736,0.45247253103665275,0.7002230882644653
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_tau[2],0.5,0.3672690808186968,0.2654618383626064,0.4604051113128662
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_f_transfer[0],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,8.243405957841787e-15
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_f_transfer[1],0.5,0.36952117196468104,0.2609576560706379,0.4538685977458954
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_f_transfer[2],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,9.901094701059154e-13
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_f_transfer[3],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,8.979162280991159e-16
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_f_transfer[4],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,1.456327780774197e-15
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_f_transfer[5],0.5,0.3961070101773733,0.20778597964525336,0.37239938974380493
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_f_transfer[6],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,1.2389550505898345e-18
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_f_transfer[7],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,6.565087676372065e-18
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_f_transfer[8],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,1.0566777376028024e-17
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_tau[0],0.5,0.16073066929724425,0.6785386614055116,0.8966497778892517
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_tau[1],0.5,0.26825658725958984,0.4634868254808203,0.7121264338493347
MO Ozark BREA,Missouri Ozark (US-MOz),US-MOz,temperate deciduous forest,log_tau[2],0.5,0.366820212567316,0.266359574865368,0.46176472306251526
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_f_transfer[0],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,4.551418039656051e-15
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_f_transfer[1],0.5,0.366778186163546,0.26644362767290797,0.4619302451610565
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_f_transfer[2],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,1.0506939285628847e-12
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_f_transfer[3],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,9.529760166486056e-16
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_f_transfer[4],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,8.88340520630406e-16
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_f_transfer[5],0.5,0.39589329524716227,0.20821340950567546,0.3731039762496948
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_f_transfer[6],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,2.2611139208453397e-18
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_f_transfer[7],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,1.5746999064068657e-18
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_f_transfer[8],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,1.91355123901434e-18
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_tau[0],0.5,0.015917114040327977,0.968165771919344,0.9989866614341736
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_tau[1],0.5,0.27315615757791273,0.45368768484417454,0.7015485763549805
MI-Coarse UMBS,UMBS (US-UMB),US-UMB,temperate mixed forest,log_tau[2],0.5,0.36680761937014167,0.26638476125971666,0.4618677794933319
